id,category,part,quantity_one_gang,quantity_two_gang,unit,purchase_url,source_url,stl_files,fit_status,notes
diodes,Electronics / harness,Vishay 1N5819-E3/73,2,2,piece,https://www.vishay.com/docs/88525/1n5817.pdf,https://www.vishay.com/docs/88525/1n5817.pdf,electronics_pod.stl;retainer_proto.stl,component body space only; board wiring not pad-routed,"1 A, 40 V Schottky DO-41. D1: anode to 5 V, striped cathode to VSYS. D2: anode to GND, striped cathode to SERVO_5V; it clamps negative excursions, not positive overvoltage."
resistors_100k,Electronics / harness,Yageo MFR-25FBF52-100K,2,2,piece,https://www.yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,https://www.yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,electronics_pod.stl;retainer_proto.stl,component body space only; board wiring not pad-routed,"1%, ¼ W axial. Battery-divider top and GP15 pulldown. Nominal body 6.3×Ø2.4 mm with ±0.5 mm length and ±0.2 mm diameter tolerance; leads are additional."
resistors_47k,Electronics / harness,Yageo MFR-25FBF52-47K,1,1,piece,https://www.yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,https://www.yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,electronics_pod.stl;retainer_proto.stl,component body space only; board wiring not pad-routed,"1%, ¼ W axial; battery-divider bottom resistor."
resistors_1k,Electronics / harness,Yageo MFR-25FBF52-1K,2,3,piece,https://www.yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,https://www.yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,electronics_pod.stl;retainer_proto.stl,component body space only; board wiring not pad-routed,"1%, ¼ W axial; one PWM signal resistor per servo and one switched-rail bleeder."
wire,Electronics / harness,Adafruit 3111 22AWG stranded six-color spool set,1,1,metre (cut allowance),https://www.adafruit.com/product/3111,https://www.adafruit.com/product/3111,electronics_pod.stl,allowance only; measure and route actual item,"Buy one shared spool set if existing wire is unsuitable. Budget about 1 metre total hookup wire per device, then trim after dry fit. Quantity is an allowance, not a spool consumed per device."
heat_shrink,Electronics / harness,Adafruit 344 heat-shrink assortment,1,1,shared pack,https://www.adafruit.com/product/344,https://www.adafruit.com/product/344,electronics_pod.stl,allowance only; measure and route actual item,Shared consumable; insulate every soldered wire splice and exposed discrete lead. One shared pack across units; cut consumption unknown.
usb_data_cable,Electronics / harness,Adafruit 3879 USB-C to Micro-B 0.3m,1,1,shared cable,https://www.adafruit.com/product/3879,https://www.adafruit.com/product/3879,electronics_pod.stl,allowance only; measure and route actual item,"Shared commissioning data cable, removed for normal battery operation. No panel adapter. The actual molded plug must fit the reserved service corridor."
strain_relief_ties,Electronics / harness,Panduit PLT1M-C,6,6,piece,https://www.digikey.com/en/products/detail/panduit-corp/PLT1M-C/280033,https://mkt.panduit.com/rs/955-VFM-023/images/Panduit_IEI-Focus-Products-EMEA-WEB.pdf,electronics_pod.stl,allowance only; measure and route actual item,"Four wire strain-relief ties and two fuse-retention ties; paired printed fuse eyes and four harness eyes are included. Actual routing and latch clearance still need checking. Buy one shared pack, trim tails."
servo,Actuator,Existing MG90S 180-degree servo; TowerPro drawing reference,1,2,piece,https://towerpro.com.tw/product/mg90s-3/,https://towerpro.com.tw/product/mg90s-3/,1g_chassis.stl;2g_chassis.stl;coupon_servo_ear_mount.stl,provisional; user brand and mounting dimensions unknown,Use existing servos if measurements match; MG90S name alone is insufficient to guarantee fit.
stock_horn,Actuator,Original matching double-arm servo horn,1,2,piece (included with servo),https://towerpro.com.tw/product/mg90s-3/,https://towerpro.com.tw/product/mg90s-3/,1g_servo1_yoke.stl;2g_servo1_yoke.stl;2g_servo2_yoke.stl,provisional; actual horn required,Reuse the manufacturer-matched spline interface. Printed flange provisionally has 14 mm fastening pitch and Ø2.2 mm holes; measure the actual double-arm horn before printing.
stock_shaft_screw,Actuator,Original servo horn centre screw,1,2,piece (included with servo),https://towerpro.com.tw/product/mg90s-3/,https://towerpro.com.tw/product/mg90s-3/,1g_servo1_yoke.stl;2g_servo1_yoke.stl;2g_servo2_yoke.stl,unverified thread; reuse original only,Do not substitute guessed M2 screw into servo output shaft.
horn_yoke_screws,Actuator,Horn-to-yoke screws: specification pending horn measurement,2,4,planned fastening point,,,1g_servo1_yoke.stl;2g_servo1_yoke.stl;2g_servo2_yoke.stl,BLOCKED: exact fastener not selected,"Diameter, thread and length depend on actual horn; this is a disclosed missing purchase specification, not an approved part."
aa_cells,Battery,Panasonic eneloop AA NiMH (four matched cells),4,4,cell,https://www.panasonicbatteryproducts.com/product/eneloop-combo-packs/,https://www.panasonicbatteryproducts.com/product/eneloop-combo-packs/,electronics_pod.stl;coupon_battery_holder.stl,nominal AA envelope; loaded holder height pending,The selected K-KJ17MCA4BA kit includes four cells and a charger. Charge and replace matched cells together; do not buy four kits.
charger,Shared tools,Panasonic BQ-CC17 external charger (K-KJ17MCA4BA kit),1,1,shared charger,https://www.panasonicbatteryproducts.com/product/eneloop-combo-packs/,https://www.panasonicbatteryproducts.com/product/eneloop-combo-packs/,,outside enclosure,"One shared kit provides a charger and the first four cells. A second actuator needs four additional cells, not a second charger."
m2x6_nylon_screws,Mechanical hardware,Westfield WF52650 M2×6 nylon cheese-head screws,4,4,piece,https://www.westfieldfasteners.co.uk/Bolts-Screws-Metric/Plastic-Machine-Screw-Slotted-Cheese-M2x6-Nylon.html,https://www.westfieldfasteners.co.uk/Bolts-Screws-Metric/Plastic-Machine-Screw-Slotted-Cheese-M2x6-Nylon.html,electronics_pod.stl;coupon_pico_mount.stl,nominal interface check; physical assembly pending,Nominal head Ø3.8×1.3 mm. Pre-tap printed Ø1.6 mm pilots M2×0.4 using a hand tap. Nylon screws are not self-tapping.
m2_5x8_screws,Mechanical hardware,Bambu AA030 M2.5x8 SHCS,16,16,piece,https://us.store.bambulab.com/en/products/m2-5-socket-head-cap-machine-screws-shcs-1,https://us.store.bambulab.com/en/products/m2-5-socket-head-cap-machine-screws-shcs-1,electronics_pod.stl;retainer_proto.stl;retainer_regulator.stl;retainer_master.stl;retainer_servo_gate.stl,nominal interface check; physical assembly pending,Four screws per retainer. One 20-piece pack covers a device with four spares.
m3x8_screws,Mechanical hardware,Bambu AA037 M3x8 SHCS,4,4,piece,https://us.store.bambulab.com/products/m3-socket-head-cap-machine-screws-shcs-1,https://us.store.bambulab.com/products/m3-socket-head-cap-machine-screws-shcs-1,electronics_pod.stl;electronics_lid.stl,nominal interface check; physical assembly pending,Lid attachment. Buy the smallest available pack covering four screws.
m3x6_screws,Mechanical hardware,Bambu AA036 M3x6 SHCS,4,4,piece,https://us.store.bambulab.com/products/m3-socket-head-cap-machine-screws-shcs-1,https://us.store.bambulab.com/products/m3-socket-head-cap-machine-screws-shcs-1,electronics_pod.stl;docking_strap.stl;1g_chassis.stl;2g_chassis.stl,nominal interface check; physical assembly pending,Two screws per docking strap. Buy the smallest available pack covering four screws.
m3_hex_nuts,Mechanical hardware,"M3x0.5 standard hex nuts: 5.5 mm AF, max 2.4 mm thick",4,4,piece,https://www.mcmaster.com/products/metric-hex-nuts/,https://www.mcmaster.com/products/metric-hex-nuts/,electronics_pod.stl;1g_chassis.stl;2g_chassis.stl,nominal interface check; physical assembly pending,Standard nonlocking nut no thicker than 2.4 mm. Printed pockets are 5.8 mm across flats. Select by dimensions as well as thread.
m2x10_screws,Mechanical hardware,M2x0.4 x10mm A2 socket-head screws,2,4,piece,https://www.kljack.com/products/-2c10kcss/,https://www.kljack.com/products/-2c10kcss/,1g_chassis.stl;2g_chassis.stl;coupon_servo_ear_mount.stl,nominal interface check; physical assembly pending,Two per servo. Actual ear thickness and washers determine thread engagement; test on the mounting coupon.
m2_nuts,Mechanical hardware,"M2x0.4 standard hex nuts: 4 mm AF, max 1.6 mm thick",2,4,piece,https://www.mcmaster.com/products/metric-hex-nuts/,https://www.mcmaster.com/products/metric-hex-nuts/,1g_chassis.stl;2g_chassis.stl;coupon_servo_ear_mount.stl,nominal interface check; physical assembly pending,Two per servo. Printed nut pockets are 4.2 mm across flats; verify the actual nut height and slot fit.
m2_washers,Mechanical hardware,"M2 flat washers: 2.2 mm ID, 5 mm OD, 0.3 mm thick",2,4,piece,https://www.mcmaster.com/products/metric-washers/,https://www.mcmaster.com/products/metric-washers/,1g_chassis.stl;2g_chassis.stl;coupon_servo_ear_mount.stl,nominal interface check; physical assembly pending,Two per servo. Confirm selected 5 mm outer diameter washers clear the actual ears.
holder_ties,Mechanical hardware,Panduit PLT2M-C 2.5mm x~200mm cable ties,2,2,piece,https://www.digikey.com/en/products/detail/panduit-corp/PLT2M-C/280041,https://www.digikey.com/en/products/detail/panduit-corp/PLT2M-C/280041,electronics_pod.stl,nominal interface check; physical assembly pending,Two battery-holder straps through 3.5×2.4 mm slot cross-sections. Buy the smallest pack covering two; trim tails.
bumpon_sj5302_pads,Mechanical hardware,3M SJ5302 urethane bumper: Ø7.9×2.2 mm,2,4,piece,https://www.3m.co.uk/3M/en_GB/p/dc/v000180779/,https://www.3m.co.uk/3M/en_GB/p/dc/v000180779/,1g_servo1_yoke.stl;2g_servo1_yoke.stl;2g_servo2_yoke.stl,nominal interface check; physical assembly pending,One bumper at each yoke end. Manufacturer dimensions are modeled. These contacts do not provide calibrated force limiting.
wall_mount,Installation,External support for textured wall: selection unresolved,1,1,mounting arrangement,https://www.command.com.sg/3M/en_SG/command-sg/how-to-use/picture-hanging-strips/,https://www.command.com.sg/3M/en_SG/command-sg/how-to-use/picture-hanging-strips/,1g_chassis.stl;2g_chassis.stl;electronics_pod.stl,BLOCKED: photographed wall excludes selected Command strips,Do not buy Command 17201 strips for the photographed textured wall. Four pairs are a conditional option only on an approved smooth surface. An external support arrangement for this wall is still unresolved.
petg,Print material,PETG filament,1,1,shared spool,,,,slicer and print calibration required,"Use existing suitable PETG. Consumption depends on slicer infill, supports and brims, and has not been estimated from G-code. PLA is acceptable for fit coupons."
m2_tap,Shared tools,M2x0.4 hand tap and holder,1,1,shared tool,https://www.mcmaster.com/products/taps/thread-size~m2/,https://www.mcmaster.com/products/taps/thread-size~m2/,,outside enclosure,Use an M2×0.4 tap on the Pico coupon and then the printed mounting posts. Do not force nylon screws into untapped pilots. Keep the back wall closed.
measurement_tools,Shared tools,Digital calipers and multimeter,1,1,shared tool set,,,,outside enclosure,"Calipers and a multimeter are needed before final printing and power-up; no particular brand is required. Also use a wire stripper/cutter, solder, flux, iron, slotted driver and 1.5/2/2.5 mm hex keys."
